temp_ambiente,temp_agua,humedad_ambiente,humedad_suelo,intensidad_luz,perfil,uv,riego
26.82,24.23,84.43,55.71,15.4,3,29,1
37.0,23.6,50.8,79.94,61.0,2,133,0
20.1,17.91,68.49,47.31,78.3,3,150,1
17.15,24.24,78.52,43.12,1.1,2,30,0
17.13,23.68,60.68,59.23,31.3,2,79,0
25.6,20.94,74.57,77.0,84.0,1,247,0
31.97,16.68,89.22,24.85,98.6,1,255,1
19.11,23.99,80.91,39.07,6.7,3,20,1
32.26,19.3,94.55,71.35,72.2,3,138,1
25.0,20.57,94.22,35.1,41.5,3,78,1
25.12,16.11,71.67,33.44,41.5,2,106,1
28.24,23.76,91.19,19.96,50.7,1,149,1
20.11,17.18,76.84,45.46,6.4,2,30,0
20.32,19.5,96.78,34.45,67.9,3,128,1
45.2,19.25,89.2,67.72,15.4,3,24,1
20.57,21.8,69.01,76.73,14.0,1,40,0
32.04,20.35,62.38,25.05,89.8,1,255,0
27.77,23.93,89.87,76.66,79.2,2,200,0
22.12,22.45,61.9,41.05,74.0,3,142,1
33.39,25.61,73.44,73.66,43.4,1,127,0
36.9,18.03,50.81,59.12,18.2,2,38,1
25.05,16.76,76.08,76.7,69.6,2,177,0
36.86,21.82,83.13,41.67,29.1,3,47,1
41.66,15.97,76.29,46.65,66.4,3,109,1
16.67,15.61,89.45,41.87,12.5,1,40,0
28.1,22.31,56.14,27.74,96.1,2,247,1
17.66,15.15,96.35,70.45,70.7,1,204,0
28.73,22.43,52.91,53.5,15.8,2,40,0
30.26,19.96,59.86,46.24,40.1,2,101,1
43.44,23.49,82.24,68.4,67.8,3,110,1
27.03,24.58,92.22,32.31,6.4,3,20,1
36.39,18.68,62.76,50.17,69.6,2,150,1
24.38,16.32,86.17,68.95,99.4,2,252,0
37.01,17.59,67.88,52.22,49.6,1,123,0
42.99,20.82,81.78,47.11,29.4,1,73,1
40.35,19.61,60.3,43.47,89.9,2,193,1
17.79,22.64,77.96,44.5,91.1,3,173,1
40.17,22.46,82.01,34.93,39.9,1,99,1
44.7,20.24,64.93,22.12,93.2,1,230,1
42.26,24.34,52.3,42.61,10.4,1,40,1
32.67,15.3,95.56,79.51,69.8,1,204,0
33.11,24.17,53.75,72.75,54.6,1,161,0
27.13,24.55,91.73,70.41,47.0,3,89,1
37.38,22.61,68.55,34.82,19.9,1,51,1
33.72,18.85,55.0,61.56,52.7,2,132,1
34.39,22.53,94.51,57.48,98.0,2,250,1
26.49,20.33,88.59,43.72,62.3,3,118,1
25.88,17.2,77.07,40.24,53.2,3,102,1
41.81,20.05,81.85,30.3,20.1,3,31,1
27.28,24.1,57.14,40.23,31.8,2,82,1
37.78,17.32,59.85,42.29,48.9,2,105,1
37.93,15.07,92.09,41.84,39.8,1,98,1
18.58,20.8,61.26,40.14,48.2,2,120,0
28.73,16.27,62.31,42.03,64.5,2,164,0
15.89,17.09,65.53,49.61,85.3,2,216,0
41.07,23.26,63.81,30.87,66.8,1,166,1
22.34,24.91,84.14,31.53,73.5,3,140,1
33.41,18.99,71.34,53.33,54.3,2,139,1
38.23,21.15,73.18,44.64,35.2,1,86,1
36.85,15.35,87.88,70.0,74.4,2,162,0
42.43,18.4,76.38,61.73,44.3,2,97,1
27.75,20.37,53.65,33.3,54.1,2,138,1
39.36,21.5,75.21,73.83,79.2,2,170,0
29.96,22.47,54.16,51.97,38.1,1,111,0
22.34,21.85,83.14,59.22,69.7,2,176,0
20.42,20.9,74.86,56.93,1.9,3,20,0
36.26,16.38,78.0,56.21,41.8,1,105,0
22.15,21.33,66.35,64.54,20.9,1,60,0
26.25,21.92,72.54,33.13,44.8,3,86,1
21.88,20.92,96.87,47.55,55.7,2,142,0
22.21,24.33,60.68,30.94,4.9,2,30,1
30.73,19.93,87.16,26.6,32.8,3,63,1
27.2,15.36,57.52,62.25,65.0,1,193,0
32.92,24.25,77.06,63.11,80.0,2,205,1
25.53,16.13,80.82,64.29,84.1,1,248,0
40.38,18.92,51.35,69.66,34.6,2,74,0
32.53,24.34,71.53,31.3,48.6,1,142,0
44.47,20.66,58.34,35.96,1.8,2,30,1
28.4,20.45,83.77,26.65,13.9,3,26,1
27.43,20.23,52.08,30.39,73.7,3,141,1
36.58,21.31,95.11,43.86,96.7,2,206,1
25.65,22.94,56.4,24.11,72.8,1,213,1
17.73,14.96,97.3,20.38,10.7,1,40,1
35.35,21.84,90.86,34.82,49.0,3,79,1
32.63,25.31,76.65,48.73,31.3,3,59,1
25.27,23.36,51.39,56.4,22.6,1,67,0
16.84,18.37,75.72,67.94,32.0,2,81,0
16.0,17.22,67.88,75.7,5.8,2,30,0
34.89,23.79,97.23,66.03,42.2,3,79,1
36.57,21.36,62.51,75.11,4.4,3,20,1
43.85,19.57,79.94,29.77,98.9,3,161,1
43.72,23.15,87.5,58.18,22.2,1,53,0
19.56,22.89,60.63,32.55,53.7,1,157,0
42.94,22.34,64.94,34.9,0.6,3,20,1
41.13,19.99,73.19,56.41,82.3,2,178,1
20.78,16.33,66.51,34.84,93.0,3,177,1
16.16,23.58,61.13,74.55,0.0,2,30,0
34.68,20.76,87.24,25.83,75.9,2,194,1
38.16,23.18,57.78,66.23,95.7,1,236,0
32.94,18.8,52.17,69.34,37.8,3,71,1
39.86,17.64,90.23,66.69,22.4,3,37,1
24.62,24.95,69.42,73.9,23.9,1,67,0
30.33,19.69,58.05,32.09,9.9,3,20,1
23.78,20.84,60.3,29.43,64.2,1,191,0
16.65,15.85,68.07,48.77,60.0,3,114,1
33.46,22.33,76.94,19.89,32.1,2,83,1
44.43,17.27,84.45,70.05,4.3,1,40,0
43.4,21.29,88.36,56.64,49.1,3,78,1
34.54,20.91,83.87,25.42,6.9,3,20,1
41.2,19.35,52.19,30.01,1.6,3,20,1
18.55,15.22,63.48,48.14,86.8,3,166,1
32.39,20.54,78.58,21.32,38.9,2,100,1
26.91,19.46,90.11,34.73,77.9,2,197,1
28.77,19.89,65.94,56.44,17.1,3,31,1
28.28,17.19,61.13,72.45,44.5,2,112,0
23.37,18.8,68.99,56.88,35.6,1,104,0
32.13,20.09,51.49,79.43,12.0,1,40,0
20.31,24.89,96.65,20.37,94.3,2,242,1
26.18,20.01,55.54,28.92,14.3,2,36,1
36.17,23.44,95.47,60.79,49.9,1,123,0
38.33,24.47,79.1,75.9,83.1,1,206,0
44.65,22.02,53.6,37.84,11.2,2,30,1
37.57,23.33,71.98,69.86,11.0,2,30,0
32.34,21.46,77.0,46.32,2.6,3,20,1
26.36,23.68,72.98,48.48,3.4,2,30,0
36.88,20.14,89.79,45.76,89.9,1,223,1
19.92,20.15,62.53,36.85,30.9,3,58,1
39.85,20.04,56.17,70.77,80.2,3,130,1
44.02,20.51,89.75,53.22,3.8,2,30,1
26.65,24.27,87.32,53.91,25.8,2,65,0
39.22,15.93,69.91,28.71,23.2,2,50,1
34.24,18.07,81.08,22.57,13.2,3,27,1
36.36,15.33,65.49,68.77,60.0,2,130,0
30.97,16.18,89.11,33.9,53.2,2,137,1
21.24,15.51,68.61,41.81,99.8,3,190,1
21.46,19.66,54.24,46.65,76.0,1,221,0
35.68,16.1,61.48,66.83,86.1,1,215,0
43.08,20.79,64.69,43.94,44.7,2,96,1
40.84,17.69,94.11,27.2,82.0,3,132,1
25.14,15.55,57.76,33.4,96.1,2,244,1
33.26,22.75,59.15,48.46,39.8,1,116,0
38.5,16.31,77.89,76.46,87.0,1,218,0
35.51,16.49,51.75,67.29,45.4,2,117,0
18.06,22.88,62.74,30.88,69.8,1,202,0
24.33,21.17,74.36,44.66,13.3,3,24,1
38.61,15.64,70.61,49.11,1.3,3,20,1
25.43,23.05,81.16,31.85,6.4,1,40,0
19.98,18.69,85.23,48.23,38.1,1,110,0
35.95,19.77,61.47,69.37,4.0,1,40,0
28.97,24.15,55.53,78.08,44.4,1,129,0
29.87,25.13,97.39,76.16,77.7,3,149,1
22.57,16.5,79.48,66.09,64.2,2,164,0
29.61,15.89,72.49,74.23,53.1,2,132,0
42.91,17.67,55.37,31.76,88.8,1,221,1
38.35,19.37,90.65,62.85,77.4,3,126,1
36.0,16.36,95.93,49.63,15.8,1,37,1
19.02,16.15,54.33,54.21,87.4,1,255,0
32.33,22.82,81.67,31.4,35.7,1,104,0
40.11,15.48,85.12,65.52,68.6,3,110,1
38.13,17.52,56.16,59.87,0.0,3,20,1
30.95,21.32,52.87,54.83,56.7,2,143,0
19.75,21.61,85.65,78.56,20.1,3,40,0
18.16,17.76,79.69,64.43,99.7,2,254,0
39.97,19.05,78.79,56.11,18.8,1,45,0
42.81,22.95,52.54,71.86,22.0,1,56,0
18.32,22.2,73.03,46.18,73.4,2,186,0
16.3,17.94,52.87,21.78,28.3,3,52,1
17.79,19.48,50.74,23.67,90.7,1,255,1
22.82,22.14,77.03,27.22,87.7,1,255,0
32.62,19.39,96.52,56.75,35.9,1,102,0
44.1,17.3,68.53,51.09,79.4,1,197,0
29.77,19.06,82.35,52.4,5.8,2,30,0
20.39,18.44,87.59,51.35,21.4,1,60,0
19.54,18.75,63.96,44.1,79.6,3,152,1
44.45,17.2,75.73,37.13,78.7,1,197,1
36.23,22.94,64.18,71.22,90.7,2,196,0
26.56,22.75,89.31,39.02,79.3,2,203,1
41.75,19.12,56.78,21.0,55.9,1,139,1
19.18,21.92,97.03,74.57,65.4,1,191,0
39.62,16.14,60.54,29.49,34.0,3,56,1
36.93,23.42,90.13,35.34,3.3,1,40,1
22.48,23.19,62.44,59.3,69.2,1,203,0
42.31,17.52,87.98,23.62,89.0,3,146,1
40.16,20.4,68.6,78.39,11.4,1,40,0
43.23,22.82,90.4,21.35,95.5,3,156,1
19.38,15.91,61.93,22.44,56.8,1,166,1
41.4,23.72,65.92,41.01,98.4,3,160,1
18.82,23.76,82.03,69.26,87.7,1,255,0
20.56,24.49,71.17,66.13,64.2,3,122,0
33.48,22.68,74.47,57.95,6.3,1,40,0
28.98,19.73,80.75,47.9,45.0,1,131,0
25.6,24.35,67.33,25.22,62.2,1,180,0
36.7,24.87,56.93,37.25,39.9,3,64,1
43.48,23.1,50.54,58.72,5.4,1,40,0
35.67,15.68,80.05,52.44,90.4,2,195,1
33.48,19.84,56.96,26.37,15.5,3,29,1
16.27,18.77,65.0,48.99,57.4,2,147,0
31.67,23.07,77.78,32.66,39.0,3,73,1
33.27,22.09,83.23,41.42,17.3,1,48,0
33.08,16.58,90.29,51.84,83.6,2,214,1
16.74,20.28,94.99,42.6,3.9,2,30,0
19.3,23.71,68.07,42.43,47.6,2,120,0
26.97,18.2,75.64,29.76,55.6,2,141,1
21.48,20.16,81.57,33.84,83.4,3,158,1
38.51,21.96,64.4,39.27,78.5,3,128,1
44.05,24.19,85.97,52.08,86.8,1,216,0
28.83,15.72,95.82,76.62,51.0,2,130,0
31.38,20.56,76.77,72.57,98.3,2,250,0
29.76,25.26,54.72,20.29,65.0,1,187,1
36.86,22.29,55.76,38.69,35.9,2,77,1
45.02,17.16,97.23,25.6,0.6,3,20,1
35.4,22.37,91.38,57.05,7.9,1,40,0
34.15,20.7,84.66,20.37,10.0,2,30,1
18.15,18.98,64.73,33.8,28.4,3,53,1
30.41,17.12,81.22,78.31,60.3,1,176,0
40.26,20.69,80.98,52.11,47.7,2,100,1
20.37,23.0,62.5,49.03,28.8,2,72,0
33.58,23.91,78.12,48.55,34.1,1,99,0
32.69,23.9,93.31,45.28,38.4,3,72,1
16.5,16.7,84.38,59.67,96.4,3,184,0
38.27,21.42,53.33,41.92,95.8,1,238,1
27.53,22.4,66.96,71.41,73.5,2,186,0
19.82,22.11,84.81,39.01,64.5,1,189,0
39.75,22.36,75.2,25.88,67.5,1,171,1
28.53,20.37,79.41,20.23,46.5,2,118,1
44.92,16.18,49.78,65.61,80.1,2,174,0
37.5,17.25,80.95,54.36,56.7,1,141,0
28.14,17.98,54.48,33.7,24.8,1,72,0
43.47,15.47,67.57,33.71,20.1,2,42,1
43.68,18.05,84.67,52.35,6.4,2,30,1
23.13,20.48,82.49,23.92,28.0,2,70,1
30.03,23.85,82.84,27.42,99.7,2,253,1
28.34,21.33,52.84,58.13,98.6,3,187,1
38.29,18.1,62.39,47.8,78.0,2,169,1
22.29,21.1,61.37,39.19,84.8,3,162,1
31.11,19.85,80.97,26.04,3.0,3,20,1
22.96,20.86,66.34,59.75,24.9,2,61,0
32.13,19.22,66.4,70.32,15.1,3,27,1
30.47,16.95,77.25,30.7,33.1,3,63,1
19.17,23.29,53.34,63.3,77.4,2,197,0
24.69,23.54,68.22,52.29,52.7,1,156,0
15.74,22.74,96.02,33.88,66.4,3,126,1
