Temperatura_C,Humedad_Aire_PCT,Humedad_Suelo_PCT,Luz_Analog,Nivel_Tanque_PCT,Bomba_Agua,Luz_UV_PWM
22.5,67.9,37.4,923,24.1,0,197
29.4,69.5,33.3,2325,27.4,0,110
26.8,77.1,17.6,3052,92.1,1,64
25.2,66.8,60.7,15,7.7,0,254
19.9,77.4,47.7,3596,61.0,1,31
19.9,61.8,86.6,2403,68.2,0,105
18.7,75.5,3.2,355,50.6,1,232
28.4,77.0,64.4,829,69.4,0,203
25.2,63.6,76.3,4010,17.3,0,5
26.5,68.6,75.9,2646,85.3,0,90
18.2,63.3,88.6,1101,14.0,0,186
29.6,74.1,72.9,2975,40.1,0,69
28.0,70.7,92.8,1090,7.5,0,187
20.5,72.7,33.3,2906,54.5,1,74
20.2,63.9,50.3,1746,67.0,0,146
20.2,64.2,1.4,213,94.1,1,241
21.7,60.8,0.7,1720,73.9,1,147
24.3,66.4,24.0,448,54.1,1,227
23.2,71.2,10.1,3012,93.3,1,67
21.5,77.2,26.0,3504,47.8,0,36
25.3,73.3,17.7,1568,56.1,1,157
19.7,68.7,2.9,3186,59.6,1,56
21.5,79.1,90.9,2834,41.0,0,78
22.4,74.4,0.8,3491,83.8,1,37
23.5,78.6,73.6,2546,18.5,0,96
27.4,70.6,15.2,709,55.5,1,210
20.4,65.2,91.2,379,72.2,0,231
24.2,61.1,89.3,3214,90.4,0,54
25.1,74.5,65.4,2787,88.4,0,81
18.6,62.4,67.2,2679,50.9,0,88
25.3,66.1,0.5,1888,64.3,1,137
20.0,70.6,98.5,1047,39.4,0,189
18.8,71.3,87.8,538,46.8,0,221
29.4,72.0,89.5,2992,90.6,0,68
29.6,63.3,65.9,3146,93.1,0,59
27.7,67.6,34.5,752,89.5,1,208
21.7,72.3,89.4,534,13.8,0,221
19.2,79.4,29.2,672,85.0,1,213
26.2,74.6,56.3,1064,94.8,0,188
23.3,78.5,10.0,3821,36.1,0,17
19.5,75.2,92.2,3822,51.9,0,17
23.9,71.8,14.1,567,77.9,1,219
18.4,63.8,22.5,1436,56.2,1,165
28.9,73.3,55.8,414,99.3,0,229
21.1,72.5,76.4,448,45.6,0,227
26.0,72.0,61.9,609,71.4,0,217
21.7,69.8,23.2,2705,79.3,1,86
24.2,70.6,0.1,2001,49.4,0,130
24.6,66.7,75.7,1797,85.7,0,143
20.2,70.4,98.5,2483,54.6,0,100
29.6,64.0,81.0,3623,41.2,0,29
27.3,76.1,46.0,704,10.8,0,211
29.3,63.7,90.4,2286,39.3,0,112
28.7,61.7,41.0,1065,73.4,1,188
25.2,68.7,52.5,733,92.1,0,209
29.1,73.2,47.7,3779,25.2,0,19
19.1,68.8,44.8,799,35.5,0,205
20.4,65.5,77.5,2057,15.4,0,126
18.5,71.2,52.7,2794,69.1,0,81
21.9,66.9,31.7,1860,96.0,1,139
22.7,78.7,25.8,3336,64.1,1,47
21.3,78.5,3.8,3652,61.7,1,27
27.9,70.0,58.3,3516,55.3,0,36
22.3,66.6,23.0,2186,8.8,0,118
21.4,74.7,14.8,1890,73.0,1,137
24.5,60.7,65.4,730,60.2,0,209
19.7,69.5,68.1,195,66.1,0,242
27.6,66.7,75.2,1097,89.9,0,186
18.9,78.4,50.4,1638,78.4,0,153
29.8,60.2,89.4,3296,78.1,0,49
27.3,71.1,93.6,1658,92.7,0,151
20.4,74.8,80.7,1125,99.0,0,184
18.1,69.7,63.6,263,58.1,0,238
27.8,61.7,30.4,2992,10.9,0,68
26.5,79.4,98.3,919,45.9,0,197
26.7,70.4,27.4,4070,78.8,1,1
27.3,72.3,20.3,160,2.8,0,245
18.9,64.7,44.2,1256,5.7,0,176
22.3,69.7,5.7,2538,6.7,0,96
19.4,68.6,97.8,1810,73.1,0,142
28.4,61.5,58.8,769,50.1,0,207
25.5,62.1,55.7,310,36.9,0,235
22.0,76.7,65.6,3722,10.6,0,23
18.8,64.8,49.7,226,73.2,1,240
21.7,63.9,3.2,272,32.1,0,238
21.9,70.1,61.2,2985,26.5,0,69
26.8,75.4,71.6,316,65.2,0,235
25.7,61.2,41.7,1922,55.9,1,135
28.6,71.5,75.7,3157,36.2,0,58
23.7,62.4,22.7,2338,64.1,1,109
19.4,60.7,22.1,1492,27.1,0,162
26.6,61.1,16.1,2776,79.5,1,82
27.1,76.7,37.2,1894,22.9,0,137
24.7,62.4,84.7,1601,15.9,0,155
27.3,60.9,82.8,1792,78.2,0,143
23.9,68.8,38.3,3718,70.8,1,23
24.3,76.9,58.9,3475,18.3,0,38
23.1,65.2,72.1,1450,11.6,0,164
18.3,68.4,24.1,2422,83.8,1,104
19.3,60.8,16.8,1925,77.7,1,135
18.4,69.0,97.2,566,32.7,0,219
25.6,71.6,61.8,2915,65.8,0,73
21.8,71.4,98.1,2802,12.4,0,80
24.1,66.6,33.8,251,50.7,1,239
28.9,66.3,70.3,1556,1.9,0,158
21.0,62.1,22.3,2354,39.2,0,108
22.9,67.3,26.1,3501,7.5,0,36
27.1,62.0,51.2,674,47.5,0,213
20.7,75.3,32.0,2915,42.2,0,73
18.9,79.3,16.8,2311,44.4,0,111
21.5,79.4,26.3,4081,4.5,0,0
19.9,77.3,3.6,2115,36.2,0,123
29.2,72.0,70.4,3178,75.6,0,57
27.7,74.0,49.2,3471,36.9,0,38
25.6,65.7,9.4,1602,71.5,1,155
28.5,72.6,17.2,3270,36.9,0,51
27.6,69.1,10.3,3263,42.3,0,51
20.2,69.6,61.3,513,56.4,0,223
28.7,75.2,9.4,2816,95.1,1,79
24.5,65.6,75.4,441,10.9,0,227
27.7,66.4,2.1,0,3.3,0,255
28.8,78.5,24.9,2405,60.8,1,105
21.8,61.1,89.1,1138,94.9,0,184
19.3,69.7,71.9,902,99.0,0,198
20.7,78.3,7.3,1623,48.4,0,153
23.1,72.2,82.1,1220,46.8,0,179
27.8,70.9,49.3,4052,64.5,1,2
28.3,65.0,84.7,3675,55.6,0,26
18.1,66.9,60.1,2321,63.4,0,110
24.1,77.0,68.2,855,87.4,0,201
23.0,71.2,99.4,1017,74.6,0,191
20.7,70.3,23.2,1183,49.7,0,181
19.4,62.0,62.4,2220,46.2,0,116
22.1,60.3,46.0,3616,64.0,1,29
29.3,79.3,3.9,3529,45.6,0,35
21.9,67.5,1.4,584,45.8,0,218
24.2,72.1,11.9,3504,1.6,0,36
26.4,61.6,64.9,2976,17.4,0,69
22.4,73.7,56.7,2528,48.9,0,97
29.7,78.7,55.3,454,82.3,0,226
29.5,71.5,3.2,195,27.9,0,242
21.0,62.5,46.9,2843,52.3,1,77
24.0,71.6,92.5,598,34.5,0,217
21.6,75.3,39.8,1332,10.5,0,172
21.4,68.1,62.5,1759,95.8,0,145
18.4,77.6,78.0,555,85.5,0,220
25.3,73.0,78.4,2895,7.8,0,74
24.0,78.0,51.9,1517,72.0,0,160
18.6,72.5,85.8,438,34.8,0,227
21.3,62.6,39.1,2697,99.5,1,87
28.9,66.2,88.9,3853,30.2,0,15
20.9,64.0,24.0,358,23.9,0,232
19.7,78.2,28.0,3107,56.8,1,61
23.9,75.2,5.3,1057,83.5,1,189
29.8,73.5,79.6,1111,19.3,0,185
20.9,66.0,41.7,2705,70.9,1,86
26.1,63.7,22.9,2063,6.1,0,126
27.1,75.1,23.2,2792,91.9,1,81
20.9,69.5,90.1,420,8.1,0,228
26.7,64.5,83.4,552,91.4,0,220
22.4,72.3,55.4,2814,49.1,0,79
25.6,60.8,61.6,2840,44.8,0,78
25.6,66.5,47.4,1149,97.3,1,183
24.4,69.4,39.2,1031,99.0,1,190
19.1,63.0,91.5,3543,65.0,0,34
28.0,79.7,12.6,1491,12.7,0,162
21.8,64.2,41.8,879,50.6,1,200
20.2,62.6,34.5,1885,52.9,1,137
18.5,64.1,49.8,851,51.4,1,202
25.1,75.4,45.8,509,56.9,1,223
26.1,68.5,51.9,3473,1.9,0,38
18.2,71.3,14.0,1859,71.1,1,139
24.1,60.4,51.3,3247,71.2,0,52
20.7,60.7,24.2,1763,11.5,0,145
25.7,68.9,18.4,965,57.0,1,194
20.1,76.3,6.5,1858,56.8,1,139
26.3,77.7,76.3,913,68.2,0,198
22.6,61.7,42.7,1390,8.5,0,168
29.2,70.8,62.7,1511,62.7,0,160
19.7,78.3,72.8,2065,28.1,0,126
22.1,67.8,67.9,2103,50.7,0,124
19.4,76.6,47.1,2966,77.3,1,70
29.1,62.7,38.8,1058,70.6,1,189
28.5,78.7,37.6,2949,11.9,0,71
21.1,75.0,64.0,2677,59.1,0,88
25.9,78.8,49.5,793,96.9,1,205
27.8,73.5,84.9,3837,15.7,0,16
24.7,67.3,87.5,3796,85.3,0,18
24.4,78.8,17.1,1596,70.3,1,155
20.9,65.5,13.6,3671,77.4,1,26
19.1,66.6,63.0,1806,28.2,0,142
28.8,74.0,30.1,346,28.8,0,233
28.8,75.3,1.9,1055,90.6,1,189
25.6,78.6,88.9,907,36.0,0,198
22.1,64.1,22.7,1023,6.3,0,191
22.2,76.0,92.9,3204,60.1,0,55
26.7,74.8,71.7,575,12.5,0,219
28.8,61.3,76.3,198,79.7,0,242
28.6,67.7,20.1,3327,64.2,1,47
27.4,65.7,23.4,1365,87.5,1,170
25.7,66.1,52.1,3738,78.5,0,22
19.0,79.7,17.2,1998,11.2,0,130
19.9,72.9,30.5,1254,38.1,0,176
28.8,74.4,32.1,2348,77.5,1,108
25.3,79.5,16.0,1016,41.7,0,191
18.1,67.5,20.5,3618,97.2,1,29
19.2,76.0,78.9,25,73.6,0,253
26.0,68.7,16.7,1558,1.5,0,157
18.1,77.4,2.8,3724,88.0,1,23
19.9,63.6,62.9,3545,10.1,0,34
24.6,79.0,97.6,3458,14.1,0,39
26.3,64.4,33.1,3356,73.4,1,46
25.8,66.5,11.9,2497,86.5,1,99
20.7,75.1,57.0,2367,53.6,0,107
26.5,67.9,90.6,2203,28.9,0,117
20.8,72.2,78.4,470,35.1,0,225
21.9,68.9,62.3,2467,34.3,0,101
27.0,74.8,31.5,3184,32.7,0,56
25.8,64.6,54.2,3973,24.3,0,7
28.2,61.2,9.1,650,60.9,1,214
25.9,66.0,67.9,3493,90.0,0,37
24.8,69.5,72.5,885,30.7,0,199
19.1,63.4,96.5,929,18.7,0,197
22.4,67.1,26.0,1744,83.9,1,146
21.2,68.0,1.8,2882,74.2,1,75
20.9,61.1,54.6,875,93.1,0,200
29.7,71.7,70.7,941,16.6,0,196
22.7,77.7,79.0,3041,14.4,0,65
28.7,63.0,19.4,3669,54.1,1,26
25.6,72.0,26.2,1308,61.4,1,173
27.5,73.3,51.3,571,48.0,0,219
24.0,68.4,33.1,53,59.9,1,251
24.9,74.0,86.1,604,18.0,0,217
23.9,68.2,47.4,324,48.0,0,234
20.3,70.1,80.0,3017,65.8,0,67
26.7,60.1,58.1,3529,43.3,0,35
21.4,73.8,77.3,884,67.9,0,199
18.3,73.2,33.3,264,45.1,0,238
25.7,60.8,83.1,381,33.4,0,231
20.1,67.4,27.5,1236,30.4,0,178
29.3,79.6,54.6,2380,41.1,0,106
29.4,68.4,21.4,3081,2.3,0,63
29.0,70.0,47.6,1381,66.9,1,169
22.4,78.2,31.8,2250,84.5,1,114
18.2,74.3,26.7,3779,35.5,0,19
29.1,71.6,96.7,2105,4.6,0,123
23.1,76.0,16.0,1517,98.7,1,160
